transaction_id,timestamp,amount,merchant,category,customer_id,fraudulent
15392282-a614-4839-9587-97be37a52971,2022-09-26 05:49:09.409321,122.37899706969503,Chan and Sons,Electronics,6635,False
17dd996e-36a8-46de-b1d4-5790d77fae51,2021-01-01 06:35:23.783679,216.34549252280337,"Reed, Ibarra and Anderson",Entertainment,7984,False
78248107-ed8a-4f7d-a1df-352c33392654,2022-02-13 07:14:09.691231,943.954483550841,Walker-Kim,Electronics,7724,False
90fac327-bbda-4ebf-bc71-17b974ba9965,2021-10-23 12:12:39.154713,612.1450418314251,"Duran, Scott and Hall",Clothing,9937,False
bc7401c5-9e3e-4d95-a681-73318ca4d906,2020-09-14 02:33:56.417673,732.9836278150107,Higgins-Jones,Utilities,1324,False
f9a01fcb-8dfd-4225-af73-707305623ce2,2024-05-05 23:06:03.447961,379.3151458863264,Morales-Allen,Entertainment,8693,False
52cf7ba2-9a19-4365-b48f-f7d25a17839e,2020-09-16 06:56:50.950074,588.3688114265668,Brock and Sons,Electronics,8572,False
81e667cc-1619-40dd-bdad-9d2145b7c76a,2023-07-02 21:12:36.019720,559.7117447361107,Brown-Hernandez,Electronics,5609,True
26eb02e0-d56c-41ec-8a94-7eb334aab74d,2020-08-24 06:20:25.837418,664.0939368873231,Church Inc,Electronics,6740,False
f5aa4f93-a447-486f-9a2e-1e42cd7a8523,2021-01-10 04:04:07.764947,981.7651043604856,"Sanders, Jones and Matthews",Utilities,3036,False
08f34d99-c8bb-402c-88e0-01519a7ac07d,2020-02-15 18:38:44.745867,65.81474543709396,"Perry, Vargas and Ortiz",Grocery,4801,False
da2cb70f-bf3d-4689-8667-382bcd7588fb,2021-06-17 05:35:39.877196,242.1837013821648,"Sullivan, Munoz and Gonzalez",Clothing,1771,False
8faa8e6d-bf4d-4f8f-90ae-ff856a162d27,2023-07-26 11:25:14.721825,253.6522265545205,"Richards, Davis and Martin",Utilities,7107,True
44eb3ea3-bb71-4fd9-bb35-e053ddd48eb7,2023-06-07 18:29:43.176682,779.7460295042597,Delgado Inc,Entertainment,2287,False
aed3ec72-55cf-408f-8f7f-e6d1fc35d2ed,2021-03-16 10:47:00.126770,834.0076059914006,"Thomas, Woods and Norris",Electronics,4468,False
e0d976c8-c9c2-46bb-9ea7-ea8821928063,2021-08-08 10:30:05.629192,661.1284292727722,"Baker, Ward and Medina",Utilities,1544,False
88134bce-c637-40f4-8b10-26d79237f69b,2023-02-23 10:00:57.444756,670.2504938336393,West and Sons,Grocery,7164,False
7ac73a4c-2ad9-4504-8541-757ef66ffa9e,2022-07-14 11:47:07.568846,729.7433709013959,"Edwards, Burns and Spencer",Utilities,5657,False
0e7161da-71b3-4cd4-a121-3125832d9157,2020-08-20 10:59:36.318627,788.0205149300716,Smith LLC,Electronics,3360,False
72873495-af25-4d92-a58f-44ed0a6fe057,2023-12-25 12:42:42.200027,300.81005875156893,Barton-Hernandez,Clothing,8077,False
928ec3d2-c460-412f-a8bf-7c44b6882d38,2022-03-20 09:50:11.975327,914.6850331261018,Brooks Ltd,Utilities,2122,False
383ecdb8-03c3-4de3-9c7e-2d9100844a60,2021-10-25 09:41:06.853177,634.560817139765,Beck-Rivers,Clothing,6597,False
e78c321b-67c7-4949-ba2a-70e9af19be79,2021-05-17 01:44:03.994115,530.656263164435,Stephens Ltd,Utilities,5581,False
ac52ea31-8847-47a1-b824-67e34db9e04c,2021-08-04 05:44:26.087670,765.1352159869674,Rogers Inc,Entertainment,3202,False
1382b074-9dbe-437a-ab6e-2f06df69ebd7,2021-11-03 21:06:04.333028,672.4649006863356,"Cohen, Robinson and James",Grocery,3218,False
76d337fb-f22c-4869-b426-ed762ccffb5c,2023-05-20 22:05:18.838385,451.4195903613486,"Washington, Preston and Smith",Entertainment,6154,False
727cd3b9-6e09-469a-a68c-4b980afdecd2,2024-03-22 22:06:01.841674,603.5061270955146,Smith-Williams,Utilities,1618,False
095283fe-84fd-42fb-8254-eed21503cba9,2020-03-17 12:19:07.238941,167.42349179419227,"Zamora, Myers and Roberson",Utilities,9909,False
1b49b307-2a94-4c4f-bde2-17d2c962d06b,2021-03-29 07:58:43.468555,127.67611781229799,Wood-Mclaughlin,Clothing,2909,False
580555ca-ad2f-4874-b886-2d81b4bfa95d,2024-01-25 11:22:38.709102,150.9202076374744,"Cook, Hernandez and Olson",Grocery,9759,False
2cbcb28c-d10f-4c6a-9a38-4601c5646ad2,2022-02-26 21:58:06.361712,34.850499851250376,"Morgan, Fleming and Holland",Clothing,9220,False
b90c143c-41ed-489b-b5c5-b52b1783613b,2022-02-18 16:19:23.872283,219.32684395784588,Hall-Jones,Entertainment,8390,False
e45fff1e-e27f-4ac7-9f6b-4902ac5051ad,2023-03-05 12:38:31.758138,656.8211370774088,West-Griffin,Clothing,3107,False
13c4eccc-5975-45df-a905-f5b90ade314a,2020-10-14 22:11:51.726131,695.4067852930773,Carter-Hudson,Electronics,2219,False
71fa7e56-01df-49c1-9013-c1db9e38071b,2023-01-02 00:00:14.863942,871.675653824521,"Perez, Diaz and Stewart",Entertainment,3593,False
83c86200-dfb9-468f-9ad8-9cb1842c2545,2022-09-27 11:08:39.110985,936.2865765657684,Hardin-Kirk,Clothing,3880,False
b0fc72d5-66ec-4dd6-8fa2-2062f7b4d543,2022-04-18 07:48:17.138484,96.58937925030197,Peters-Hodges,Grocery,3503,False
5f532ea7-5a14-4d05-b4bc-dd9050ac3e58,2021-11-21 14:04:50.112350,280.04516350950695,Smith-Walton,Clothing,1828,False
7c95feea-01cd-4c7b-9531-0674976a9c18,2020-02-10 07:53:01.743997,335.5130485997217,Leonard-Graham,Grocery,4643,False
c91cfd89-37aa-475e-8e99-e2fcdaeed450,2023-02-13 13:21:20.618090,695.0969475966921,Stephens Group,Utilities,7769,False
e8ff1334-5d91-4506-9fb5-0e0ffa311c0f,2022-11-09 22:53:53.775717,867.9717674178366,Shepard and Sons,Electronics,7318,False
2eb58876-1f3e-4c60-8daa-b4cd79bba8e7,2023-08-05 17:51:44.070183,58.93602753958438,Wilson Ltd,Electronics,1801,False
51d1f3e5-c794-4aee-904a-4f33fce78762,2022-03-23 12:19:34.853476,847.0252766229299,"Cohen, Mitchell and Bailey",Electronics,6472,False
bc01ee78-5769-4b8d-b820-371672716d1f,2020-09-09 23:44:44.584592,456.132541094008,"Smith, Sutton and Gutierrez",Electronics,7587,False
733d2a1f-102e-4d06-b3c1-5aa0deaea192,2023-04-12 09:58:02.327791,931.590434821033,Wilson-Payne,Utilities,9863,False
2ab1697b-e9b1-45af-9808-435b9f7f3fd0,2020-11-04 10:16:38.848393,94.71448152323838,Thompson-Wright,Entertainment,1065,False
1c576a6d-6dc2-4871-80a8-f5e38416cef2,2022-02-21 18:27:57.954050,930.996777655044,Brown Ltd,Grocery,2982,False
7d9f123d-45bb-4dbd-9de1-80e01c98d6d6,2021-03-27 11:05:10.735520,317.07839402606714,"Fowler, Hines and Reynolds",Electronics,2862,False
708b8677-6e7e-457b-8f1c-f550bfe790ca,2021-05-24 13:55:27.962976,964.5230842554114,Winters LLC,Electronics,8836,False
