feature1,feature2
0.29545787,-0.021511033
0.11896124,0.41252187
0.38298497,0.026127407
0.39782235,0.32487854
0.33962113,0.28740615
0.5599245,0.2643837
0.42819893,0.092952155
0.1096511,0.16290891
0.20963424,0.53827024
-0.093626566,0.13191557
0.46369615,0.2420866
0.17020153,-0.034530118
0.4515643,0.23704723
0.21957982,-0.01802367
0.24549173,0.027492417
0.37303916,0.65917236
0.5309351,0.12892824
0.27910423,0.3282
0.26777986,0.46052593
0.22999632,0.22580685
0.20119601,0.25335687
0.39483878,0.11722193
0.16802867,0.24624673
0.34557688,0.47135657
0.12995169,0.17032982
0.5626621,0.1297513
0.40130943,0.46790373
0.32178682,0.188156
0.14939582,-0.091932334
0.25253013,0.5633136
0.24240817,0.23712072
0.3919211,0.23368062
